captured_at,captured_on,stars,forks,watchers,open_issues_and_prs,repository_size_kb,default_branch,license,created_at,updated_at,pushed_at,releases,release_assets,release_asset_downloads,contributors,public_contributions,languages
2026-09-16T20:20:25Z,2026-09-16,12,5,2,4,64957,Release_PELCA_v1.4,NOASSERTION,2024-07-29T07:36:47Z,2026-07-21T14:52:08Z,2026-04-07T12:44:15Z,7,4,38,2,18,2
2026-09-17T13:00:08Z,2026-09-17,12,5,2,4,82600,Release_PELCA_v2.0,NOASSERTION,2024-07-29T07:36:47Z,2026-09-17T07:27:28Z,2026-09-17T09:26:33Z,8,4,38,1,1,2
